Chapter, 22, 1, , 22 Bardi's Abiding With Gudmund 
22, 22, 2, Chapter , Bardi's Abiding With Gudmund So 
Bardi's, 22, 3, Chapter 22 , Abiding With Gudmund So Eyolf 
Abiding, 22, 4, Chapter 22 Bardi's , With Gudmund So Eyolf dights 
With, 22, 5, Chapter 22 Bardi's Abiding , Gudmund So Eyolf dights him 
Gudmund, 22, 6, Chapter 22 Bardi's Abiding With , So Eyolf dights him for 
So, 22, 7, 22 Bardi's Abiding With Gudmund , Eyolf dights him for the 
Eyolf, 22, 8, Bardi's Abiding With Gudmund So , dights him for the journey 
dights, 22, 9, Abiding With Gudmund So Eyolf , him for the journey and 
him, 22, 10, With Gudmund So Eyolf dights , for the journey and goes 
for, 22, 11, Gudmund So Eyolf dights him , the journey and goes with 
the, 22, 12, So Eyolf dights him for , journey and goes with five-and- 
journey, 22, 13, Eyolf dights him for the , and goes with five-and- twenty 
and, 22, 14, dights him for the journey , goes with five-and- twenty horses 
goes, 22, 15, him for the journey and , with five-and- twenty horses to 
with, 22, 16, for the journey and goes , five-and- twenty horses to meet 
five-and-, 22, 17, the journey and goes with , twenty horses to meet them 
twenty, 22, 18, journey and goes with five-and- , horses to meet them and 
horses, 22, 19, and goes with five-and- twenty , to meet them and happens 
to, 22, 20, goes with five-and- twenty horses , meet them and happens on 
meet, 22, 21, with five-and- twenty horses to , them and happens on them 
them, 22, 22, five-and- twenty horses to meet , and happens on them on 
and, 22, 23, twenty horses to meet them , happens on them on Galmastrand 
happens, 22, 24, horses to meet them and , on them on Galmastrand He 
on, 22, 25, to meet them and happens , them on Galmastrand He greets 
them, 22, 26, meet them and happens on , on Galmastrand He greets them 
on, 22, 27, them and happens on them , Galmastrand He greets them well 
Galmastrand, 22, 28, and happens on them on , He greets them well and 
He, 22, 29, happens on them on Galmastrand , greets them well and bids 
greets, 22, 30, on them on Galmastrand He , them well and bids them 
them, 22, 31, them on Galmastrand He greets , well and bids them go 
well, 22, 32, on Galmastrand He greets them , and bids them go home 
and, 22, 33, Galmastrand He greets them well , bids them go home with 
bids, 22, 34, He greets them well and , them go home with him 
them, 22, 35, greets them well and bids , go home with him by 
go, 22, 36, them well and bids them , home with him by the 
home, 22, 37, well and bids them go , with him by the will 
with, 22, 38, and bids them go home , him by the will of 
him, 22, 39, bids them go home with , by the will of his 
by, 22, 40, them go home with him , the will of his father 
the, 22, 41, go home with him by , will of his father They 
will, 22, 42, home with him by the , of his father They did 
of, 22, 43, with him by the will , his father They did so 
his, 22, 44, him by the will of , father They did so and 
father, 22, 45, by the will of his , They did so and there 
They, 22, 46, the will of his father , did so and there they 
did, 22, 47, will of his father They , so and there they had 
so, 22, 48, of his father They did , and there they had to 
and, 22, 49, his father They did so , there they had to themselves 
there, 22, 50, father They did so and , they had to themselves the 
they, 22, 51, They did so and there , had to themselves the second 
had, 22, 52, did so and there they , to themselves the second bench 
to, 22, 53, so and there they had , themselves the second bench throughout 
themselves, 22, 54, and there they had to , the second bench throughout the 
the, 22, 55, there they had to themselves , second bench throughout the winter 
second, 22, 56, they had to themselves the , bench throughout the winter and 
bench, 22, 57, had to themselves the second , throughout the winter and Gudmund 
throughout, 22, 58, to themselves the second bench , the winter and Gudmund was 
the, 22, 59, themselves the second bench throughout , winter and Gudmund was cheery 
winter, 22, 60, the second bench throughout the , and Gudmund was cheery to 
and, 22, 61, second bench throughout the winter , Gudmund was cheery to them 
Gudmund, 22, 62, bench throughout the winter and , was cheery to them and 
was, 22, 63, throughout the winter and Gudmund , cheery to them and did 
cheery, 22, 64, the winter and Gudmund was , to them and did to 
to, 22, 65, winter and Gudmund was cheery , them and did to them 
them, 22, 66, and Gudmund was cheery to , and did to them after 
and, 22, 67, Gudmund was cheery to them , did to them after the 
did, 22, 68, was cheery to them and , to them after the fashion 
to, 22, 69, cheery to them and did , them after the fashion of 
them, 22, 70, to them and did to , after the fashion of a 
after, 22, 71, them and did to them , the fashion of a great 
the, 22, 72, and did to them after , fashion of a great man 
fashion, 22, 73, did to them after the , of a great man and 
of, 22, 74, to them after the fashion , a great man and well 
a, 22, 75, them after the fashion of , great man and well And 
great, 22, 76, after the fashion of a , man and well And that 
man, 22, 77, the fashion of a great , and well And that was 
and, 22, 78, fashion of a great man , well And that was widely 
well, 22, 79, of a great man and , And that was widely rumoured 
And, 22, 80, a great man and well , that was widely rumoured Einar 
that, 22, 81, great man and well And , was widely rumoured Einar the 
was, 22, 82, man and well And that , widely rumoured Einar the son 
widely, 22, 83, and well And that was , rumoured Einar the son of 
rumoured, 22, 84, well And that was widely , Einar the son of Jarnskeggi 
Einar, 22, 85, And that was widely rumoured , the son of Jarnskeggi often 
the, 22, 86, that was widely rumoured Einar , son of Jarnskeggi often bids 
son, 22, 87, was widely rumoured Einar the , of Jarnskeggi often bids them 
of, 22, 88, widely rumoured Einar the son , Jarnskeggi often bids them go 
Jarnskeggi, 22, 89, rumoured Einar the son of , often bids them go to 
often, 22, 90, Einar the son of Jarnskeggi , bids them go to his 
bids, 22, 91, the son of Jarnskeggi often , them go to his house 
them, 22, 92, son of Jarnskeggi often bids , go to his house and 
go, 22, 93, of Jarnskeggi often bids them , to his house and stay 
to, 22, 94, Jarnskeggi often bids them go , his house and stay with 
his, 22, 95, often bids them go to , house and stay with him 
house, 22, 96, bids them go to his , and stay with him And 
and, 22, 97, them go to his house , stay with him And thus 
stay, 22, 98, go to his house and , with him And thus now 
with, 22, 99, to his house and stay , him And thus now they 
him, 22, 100, his house and stay with , And thus now they are 
And, 22, 101, house and stay with him , thus now they are right 
thus, 22, 102, and stay with him And , now they are right happy 
now, 22, 103, stay with him And thus , they are right happy Now 
they, 22, 104, with him And thus now , are right happy Now we 
are, 22, 105, him And thus now they , right happy Now we have 
right, 22, 106, And thus now they are , happy Now we have to 
happy, 22, 107, thus now they are right , Now we have to bring 
Now, 22, 108, now they are right happy , we have to bring to 
we, 22, 109, they are right happy Now , have to bring to mind 
have, 22, 110, are right happy Now we , to bring to mind that 
to, 22, 111, right happy Now we have , bring to mind that it 
bring, 22, 112, happy Now we have to , to mind that it was 
to, 22, 113, Now we have to bring , mind that it was Thorarin's 
mind, 22, 114, we have to bring to , that it was Thorarin's rede 
that, 22, 115, have to bring to mind , it was Thorarin's rede that 
it, 22, 116, to bring to mind that , was Thorarin's rede that with 
was, 22, 117, bring to mind that it , Thorarin's rede that with Bardi 
Thorarin's, 22, 118, to mind that it was , rede that with Bardi there 
rede, 22, 119, mind that it was Thorarin's , that with Bardi there were 
that, 22, 120, that it was Thorarin's rede , with Bardi there were men 
with, 22, 121, it was Thorarin's rede that , Bardi there were men who 
Bardi, 22, 122, was Thorarin's rede that with , there were men who were 
there, 22, 123, Thorarin's rede that with Bardi , were men who were of 
were, 22, 124, rede that with Bardi there , men who were of great 
men, 22, 125, that with Bardi there were , who were of great worth 
who, 22, 126, with Bardi there were men , were of great worth and 
were, 22, 127, Bardi there were men who , of great worth and had 
of, 22, 128, there were men who were , great worth and had much 
great, 22, 129, were men who were of , worth and had much to 
worth, 22, 130, men who were of great , and had much to fall 
and, 22, 131, who were of great worth , had much to fall back 
had, 22, 132, were of great worth and , much to fall back upon 
much, 22, 133, of great worth and had , to fall back upon And 
to, 22, 134, great worth and had much , fall back upon And they 
fall, 22, 135, worth and had much to , back upon And they now 
back, 22, 136, and had much to fall , upon And they now sent 
upon, 22, 137, had much to fall back , And they now sent to 
And, 22, 138, much to fall back upon , they now sent to the 
they, 22, 139, to fall back upon And , now sent to the west 
now, 22, 140, fall back upon And they , sent to the west for 
sent, 22, 141, back upon And they now , to the west for their 
to, 22, 142, upon And they now sent , the west for their moneys 
the, 22, 143, And they now sent to , west for their moneys being 
west, 22, 144, they now sent to the , for their moneys being still 
for, 22, 145, now sent to the west , their moneys being still bent 
their, 22, 146, sent to the west for , moneys being still bent on 
moneys, 22, 147, to the west for their , being still bent on faring 
being, 22, 148, the west for their moneys , still bent on faring abroad 
still, 22, 149, west for their moneys being , bent on faring abroad in 
bent, 22, 150, for their moneys being still , on faring abroad in the 
on, 22, 151, their moneys being still bent , faring abroad in the summer 
faring, 22, 152, moneys being still bent on , abroad in the summer Chapter 
abroad, 22, 153, being still bent on faring , in the summer Chapter 23 
in, 22, 154, still bent on faring abroad , the summer Chapter 23 Eric's 
the, 22, 155, bent on faring abroad in , summer Chapter 23 Eric's Song 
summer, 22, 156, on faring abroad in the , Chapter 23 Eric's Song On 
Chapter, 23, 1, faring abroad in the summer , 23 Eric's Song On The 
23, 23, 2, abroad in the summer Chapter , Eric's Song On The Heathslayings 
Eric's, 23, 3, in the summer Chapter 23 , Song On The Heathslayings Some 
Song, 23, 4, the summer Chapter 23 Eric's , On The Heathslayings Some time 
On, 23, 5, summer Chapter 23 Eric's Song , The Heathslayings Some time that 
