22, 22, 2, Chapter , Bardi's Abiding With Gudmund So 
23, 23, 2, abroad in the summer Chapter , Eric's Song On The Heathslayings 
a, 22, 75, them after the fashion of , great man and well And 
Abiding, 22, 4, Chapter 22 Bardi's , With Gudmund So Eyolf dights 
abroad, 22, 153, being still bent on faring , in the summer Chapter 23 
after, 22, 71, them and did to them , the fashion of a great 
All, 23, 46, race-course whereon the sword runneth , up on the Heath twas 
and, 22, 14, dights him for the journey , goes with five-and- twenty horses 
and, 22, 23, twenty horses to meet them , happens on them on Galmastrand 
and, 22, 33, Galmastrand He greets them well , bids them go home with 
and, 22, 49, his father They did so , there they had to themselves 
and, 22, 61, second bench throughout the winter , Gudmund was cheery to them 
and, 22, 67, Gudmund was cheery to them , did to them after the 
and, 22, 78, fashion of a great man , well And that was widely 
and, 22, 97, them go to his house , stay with him And thus 
and, 22, 131, who were of great worth , had much to fall back 
and, 23, 28, as to what had befallen , how many lives had been 
and, 23, 93, fell in with his fate , his ending In the midst 
And, 22, 80, a great man and well , that was widely rumoured Einar 
And, 22, 101, house and stay with him , thus now they are right 
And, 22, 138, much to fall back upon , they now sent to the 
And, 23, 75, midst din of the shields , thereof was the cause of 
are, 22, 105, him And thus now they , right happy Now we have 
as, 23, 23, who asked Eric the Skald , to what had befallen and 
asked, 23, 19, that there was one who , Eric the Skald as to 
back, 22, 136, and had much to fall , upon And they now sent 
Bardi, 22, 122, was Thorarin's rede that with , there were men who were 
Bardi's, 22, 3, Chapter 22 , Abiding With Gudmund So Eyolf 
battle, 23, 65, lime-board the red board of , Went shivering to pieces midst 
battle, 23, 82, was the cause of the , that erewhile It was Gisli 
been, 23, 33, and how many lives had , lost He sang Famed groves 
befallen, 23, 27, Skald as to what had , and how many lives had 
befell, 23, 13, Some time that winter it , that there was one who 
being, 22, 148, the west for their moneys , still bent on faring abroad 
bench, 22, 57, had to themselves the second , throughout the winter and Gudmund 
bent, 22, 150, for their moneys being still , on faring abroad in the 
bids, 22, 34, He greets them well and , them go home with him 
bids, 22, 91, the son of Jarnskeggi often , them go to his house 
board, 23, 63, where the lime-board the red , of battle Went shivering to 
bring, 22, 112, happy Now we have to , to mind that it was 
by, 22, 40, them go home with him , the will of his father 
cause, 23, 79, shields And thereof was the , of the battle that erewhile 
Chapter, 22, 1, , 22 Bardi's Abiding With Gudmund 
Chapter, 23, 1, faring abroad in the summer , 23 Eric's Song On The 
cheery, 22, 64, the winter and Gudmund was , to them and did to 
dead, 23, 54, the Heath twas eleven lay , In the place where the 
did, 22, 47, will of his father They , so and there they had 
did, 22, 68, was cheery to them and , to them after the fashion 
dights, 22, 9, Abiding With Gudmund So Eyolf , him for the journey and 
din, 23, 71, Went shivering to pieces midst , of the shields And thereof 
Einar, 22, 85, And that was widely rumoured , the son of Jarnskeggi often 
eleven, 23, 52, up on the Heath twas , lay dead In the place 
ending, 23, 95, with his fate and his , In the midst of the 
erewhile, 23, 84, cause of the battle that , It was Gisli fell in 
Eric, 23, 20, there was one who asked , the Skald as to what 
Eric's, 23, 3, in the summer Chapter 23 , Song On The Heathslayings Some 
Eyolf, 22, 8, Bardi's Abiding With Gudmund So , dights him for the journey 
fall, 22, 135, worth and had much to , back upon And they now 
Famed, 23, 37, had been lost He sang , groves of the race-course whereon 
faring, 22, 152, moneys being still bent on , abroad in the summer Chapter 
fashion, 22, 73, did to them after the , of a great man and 
